school_name,slug,acceptance,city,state,grad_rate,desirability,influence,overall_rank,sat,act,student_body,undergrad_student_body,tuition,domain
"Embry–Riddle Aeronautical University, Daytona Beach","embry–riddle-aeronautical-university,-daytona-beach",0.61,"Daytona Beach",FL,0.62,,5268,92106,,,6000,6000,37000,erau.edu
"Saint Joseph's Seminary","saint-joseph's-seminary",,,,,,5633,92149,,,,,,
"Universidad del Este",universidad-del-este,,Carolina,PR,0.38,,6604,92192,,,8000,7000,6000,suagm.edu
"Clarkson College",clarkson-college,0.57,Omaha,NE,0.52,1104,4676,92235,,,1000,1000,14000,
"Bethany University",bethany-university,,,,,,6404,92278,,,,,,
"Kensington University",kensington-university,,,,,,4993,92321,,,,,,
"Crafton Hills College",crafton-hills-college,,Yucaipa,CA,0.32,,6096,92364,,,4000,4000,1000,craftonhills.edu
"West Los Angeles College",west-los-angeles-college,,"Culver City",CA,0.22,,7006,92407,,,7000,7000,1000,wlac.edu
"Everett Community College",everett-community-college,,Everett,WA,0.38,,6727,92450,,,7000,7000,4000,everettcc.edu
"Lansing Community College",lansing-community-college,,Lansing,MI,0.17,,6305,94644,,,8000,8000,7000,lcc.edu
"Ohio Christian University",ohio-christian-university,,Circleville,OH,0.34,,7654,94688,,,2000,2000,15000,ohiochristian.edu
"California Culinary Academy",california-culinary-academy,,,,,,7132,94732,,,,,,
"Kenai Peninsula College",kenai-peninsula-college,,,,,,6419,94776,,,,,,kpc.alaska.edu
"University of South Carolina Sumter",university-of-south-carolina-sumter,0.72,Sumter,SC,0.3,737,6932,94820,1015,17,1000,1000,8000,sc.edu
"Southeastern University",southeastern-university,0.43,Lakeland,FL,0.48,135,6874,94864,1060,21,6000,5000,27000,seu.edu
"Huntington University",huntington-university,0.78,Huntington,IN,0.65,,5432,94908,1057,21,1000,1000,27000,huntington.edu
"LIU Global",liu-global,,,,,,6988,94952,,,,,,
"Eden Theological Seminary",eden-theological-seminary,,"Webster Groves",MO,,,2388,94996,,,1000,,,eden.edu
"Sierra College",sierra-college,,Rocklin,CA,0.4,,5303,95040,,,12000,12000,1000,sierracollege.edu
"Indiana University Northwest",indiana-university-northwest,0.82,Gary,IN,0.32,1351,5644,95084,1005,19,3000,3000,8000,iun.edu
"Central College",central-college,,,,,,4796,95128,,,,,,central.edu
"University of Florida College of Medicine-Jacksonville",university-of-florida-college-of-medicine-jacksonville,,,,,,7550,95172,,,,,,
"Harrison Middleton University",harrison-middleton-university,,,,,,5588,95216,,,,,,
"Indiana University Kokomo",indiana-university-kokomo,0.83,Kokomo,IN,0.43,1336,6511,95260,1050,20,3000,3000,8000,iuk.edu
"Hallmark University",hallmark-university,,,,,,5302,95304,,,,,,hallmarkuniversity.edu
"Central Wyoming College",central-wyoming-college,,Riverton,WY,0.33,,5871,95348,,,1000,1000,4000,cwc.edu
"Harris–Stowe State University","harris–stowe-state-university",,"Saint Louis",MO,0.12,,5406,95392,,,1000,1000,5000,hssu.edu
"Oxnard College",oxnard-college,,Oxnard,CA,0.33,,7156,95436,,,4000,4000,1000,oxnardcollege.edu
"Georgia Piedmont Technical College",georgia-piedmont-technical-college,,Clarkston,GA,0.47,,6946,95480,,,2000,2000,3000,gptc.edu
"University of Maine at Farmington",university-of-maine-at-farmington,0.95,Farmington,ME,0.6,727,3177,95524,,,2000,2000,9000,umf.maine.edu
"University of Sioux Falls",university-of-sioux-falls,0.92,"Sioux Falls",SD,0.58,695,5980,95568,1150,22,2000,1000,19000,usouixfalls.edu
"North Seattle College",north-seattle-college,,Seattle,WA,0.3,,7153,95612,,,4000,4000,5000,northseattle.edu
"Vermilion Community College",vermilion-community-college,,Ely,MN,0.32,,8441,95656,,,1000,1000,5000,vcc.edu
"University of Maine at Presque Isle",university-of-maine-at-presque-isle,0.99,"Presque Isle",ME,0.31,889,4243,95700,,,1000,1000,8000,umpi.edu
"College of Coastal Georgia",college-of-coastal-georgia,0.96,Brunswick,GA,0.23,1244,6806,95744,1005,19,3000,3000,4000,ccga.edu
"MidAmerica Nazarene University",midamerica-nazarene-university,0.64,Olathe,KS,0.48,1454,7928,95788,,,2000,1000,32000,mnu.edu
"Heritage Christian University",heritage-christian-university,0.67,Florence,AL,0.14,,8208,95832,,,1000,0,12000,hcu.edu
"Ringling College of Art and Design",ringling-college-of-art-and-design,0.69,Sarasota,FL,0.78,1223,5768,95876,,,1000,1000,48000,ringling.edu
"Circle in the Square Theatre School",circle-in-the-square-theatre-school,0.11,"New York",NY,0.5,,7307,95920,,,1000,0,19000,
"Vanguard University",vanguard-university,0.5,"Costa Mesa",CA,0.63,922,5511,95964,1065,21,2000,2000,35000,vanguard.edu
"Howard Community College",howard-community-college,,Columbia,MD,0.26,,5861,96008,,,6000,6000,7000,howardcc.edu
"Trinity Lutheran Seminary",trinity-lutheran-seminary,,,,,,5047,96052,,,,,,
"Lake Forest Graduate School of Management",lake-forest-graduate-school-of-management,,"Lake Forest",IL,,,6614,96096,,,1000,,,lfgsm.edu
"Alderson Broaddus University",alderson-broaddus-university,0.53,Philippi,WV,0.32,,6637,96140,960,19,1000,1000,29000,ab.edu
"Wayne College",wayne-college,,,,,,7841,96184,,,,,,
"Memphis Theological Seminary",memphis-theological-seminary,,Memphis,TN,,,5563,96228,,,1000,,,memphisseminary.edu
"Temple University School of Pharmacy",temple-university-school-of-pharmacy,,,,,,7856,96272,,,,,,
"Lyon College",lyon-college,0.5,Batesville,AR,0.43,696,6741,96316,1120,23,1000,1000,29000,lyon.edu
"Moraine Valley Community College",moraine-valley-community-college,,"Palos Hills",IL,0.29,,6755,96360,,,9000,9000,10000,morainevalley.edu
"Delgado Community College",delgado-community-college,,"New Orleans",LA,0.09,,6342,96404,,,9000,9000,4000,dcc.edu
"Minneapolis Community and Technical College",minneapolis-community-and-technical-college,,Minneapolis,MN,0.17,,7665,96448,,,5000,5000,6000,minneapolis.edu
"Northwest Arkansas Community College",northwest-arkansas-community-college,,Bentonville,AR,0.27,,7632,96492,,,5000,5000,4000,nwacc.edu
"Simmons College of Kentucky",simmons-college-of-kentucky,,,,,,3640,96536,,,,,,
